,Ainu,Buryat,Chukchi,West Greenlandic,Even,Evenki,Nivkh,Japanese,Yukagir,Korean,Koryak,Yakut,Selkup
Ainu,0,,,,,,,,,,,,
Buryat,9788,0,,,,,,,,,,,
Chukchi,10093,9766,0,,,,,,,,,,
West Greenlandic,10145,10217,10012,0,,,,,,,,,
Even,9754,9258,9509,9765,0,,,,,,,,
Evenki,9880,9157,9757,9710,6009,0,,,,,,,
Nivkh,9919,9783,9859,9745,9717,9508,0,,,,,,
Japanese,9670,10178,9993,10077,10036,10023,9923,0,,,,,
Yukagir,10236,10108,9846,10087,10005,10027,10066,9672,0,,,,
Korean,9963,9979,9788,9975,9881,9490,9644,10054,9875,0,,,
Koryak,10093,9632,5809,10006,9527,9852,9660,10185,9708,9806,0,,
Yakut,10091,9527,10129,10277,10009,10015,9561,10437,9561,10113,10132,0,
Selkup,9849,10229,10030,9909,9737,9766,10126,9879,9759,9891,9857,9868,0
